City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lompoc,34.64,-120.46,78.8,56,1,3.36,US,1600802637
saskylakh,71.92,114.08,43.18,71,0,13.76,RU,1600802612
puerto ayora,-0.74,-90.35,71.01,78,96,10.0,EC,1600802638
bantogon,6.53,124.03,78.24,75,62,3.94,PH,1600802590
neiafu,-18.65,-173.98,73.4,94,75,4.7,TO,1600802638
hofn,64.25,-15.21,41.94,61,0,5.12,IS,1600802638
saint-philippe,-21.36,55.77,66.2,68,20,5.82,RE,1600802639
port elizabeth,-33.92,25.57,50.0,93,0,4.7,ZA,1600802639
albany,42.6,-73.97,69.01,28,0,6.85,US,1600802408
carutapera,-1.2,-46.02,84.52,62,9,11.3,BR,1600802586
ushuaia,-54.8,-68.3,44.6,72,20,17.22,AR,1600802556
oranjestad,12.52,-70.03,93.2,52,20,13.87,AW,1600802493
ponta do sol,32.67,-17.1,75.99,78,40,8.05,PT,1600802567
rockport,28.02,-97.05,80.6,83,75,16.11,US,1600802640
atuona,-9.8,-139.03,78.71,72,100,20.94,PF,1600802640
rikitea,-23.12,-134.97,72.52,76,98,19.33,PF,1600802640
ambulu,-8.35,113.61,75.51,91,37,2.24,ID,1600802641
dolinsk,47.35,142.8,39.2,93,0,6.71,RU,1600802641
new norfolk,-42.78,147.06,48.99,75,86,7.16,AU,1600802641
rossosh,51.12,38.51,56.12,56,0,6.42,RU,1600802642
palu,-0.89,119.87,76.41,81,97,2.19,ID,1600802642
cozumel,20.51,-86.95,91.4,63,20,8.05,MX,1600802642
nikolskoye,59.7,30.79,54.0,87,20,4.47,RU,1600802642
mataura,-46.19,168.86,52.0,94,53,7.0,NZ,1600802643
saldanha,-33.01,17.94,57.2,76,0,6.93,ZA,1600802643
vaini,-21.2,-175.2,71.6,88,90,10.29,TO,1600802643
east london,-33.02,27.91,62.6,82,6,9.17,ZA,1600802643
pisco,-13.7,-76.22,66.99,77,20,12.75,PE,1600802395
turukhansk,65.82,87.98,49.57,86,100,14.92,RU,1600802643
isangel,-19.55,169.27,62.6,93,20,11.39,VU,1600802644
norman wells,65.28,-126.83,46.4,75,75,4.7,CA,1600802644
cherskiy,68.75,161.3,34.43,86,100,6.71,RU,1600802577
bluff,-46.6,168.33,52.0,94,54,7.0,NZ,1600802513
leshukonskoye,64.9,45.76,43.43,83,100,12.17,RU,1600802626
busselton,-33.65,115.33,46.99,78,74,7.47,AU,1600802644
punta arenas,-53.15,-70.92,48.2,57,40,19.46,CL,1600802506
jamestown,42.1,-79.24,66.99,48,1,10.29,US,1600802644
hami,42.8,93.45,65.34,39,0,5.61,CN,1600802508
meulaboh,4.14,96.13,77.56,88,100,4.14,ID,1600802645
ribeira grande,38.52,-28.7,69.8,68,20,11.41,PT,1600802646
cape town,-33.93,18.42,59.0,82,0,14.99,ZA,1600802459
thompson,55.74,-97.86,53.6,76,75,13.87,CA,1600802647
tulsipur,28.13,82.3,81.0,72,98,4.0,NP,1600802647
okahandja,-21.98,16.92,73.99,11,44,5.82,NA,1600802648
coquimbo,-29.95,-71.34,57.2,82,75,12.75,CL,1600802648
langham,52.37,-106.97,64.4,48,75,10.29,CA,1600802648
shache,38.42,77.24,52.05,41,30,2.3,CN,1600802648
zhigansk,66.77,123.37,37.62,81,2,2.26,RU,1600802539
seymchan,62.88,152.43,26.87,92,10,0.94,RU,1600802649
mar del plata,-38.0,-57.56,66.2,32,100,16.11,AR,1600802452
mwinilunga,-11.74,24.43,71.67,28,86,3.0,ZM,1600802649
marawi,8.0,124.29,75.99,85,98,5.01,PH,1600802649
sala consilina,40.39,15.6,72.0,76,97,3.56,IT,1600802649
kuito,-12.38,16.93,69.76,52,37,3.36,AO,1600802650
